Date,Close,Open,High,Low,Volume,Change %
07/08/2025,357.89,356,382,352.02,225.67K,2.93%
07/07/2025,347.7,316.4,347.7,316.2,386.42K,10.00%
07/04/2025,316.09,317.6,317.6,315.02,15.31K,-0.21%
07/03/2025,316.74,317.37,320,313.4,31.61K,0.41%
07/02/2025,315.44,321.64,321.64,312.02,31.76K,-1.52%
07/01/2025,320.3,317.12,323.2,316.21,57.41K,0.77%
06/30/2025,317.85,314,320,310.2,44.70K,0.68%
06/27/2025,315.7,312,320,310.01,55.72K,0.99%
06/26/2025,312.61,308.01,315,308.01,15.16K,0.68%
06/25/2025,310.49,308.01,311.75,308,91.78K,0.12%
06/24/2025,310.12,305,311,305,23.11K,2.58%
06/23/2025,302.32,301.74,316.6,296,128.48K,-0.38%
06/20/2025,303.46,309,309,301.74,28.61K,-1.49%
06/19/2025,308.05,308,309.98,306.3,16.66K,-0.09%
06/18/2025,308.33,311.94,311.94,307,5.24K,-0.15%
06/17/2025,308.8,310,312,308.01,12.12K,0.05%
06/16/2025,308.65,305,314,304.2,22.93K,0.64%
06/13/2025,306.7,308,309.98,305,120.08K,-1.66%
06/12/2025,311.87,310.1,315.74,310,61.82K,-0.49%
06/11/2025,313.39,309.82,316.6,305.8,37.49K,1.73%
06/10/2025,308.06,310.6,313.76,306.1,15.46K,-0.86%
06/05/2025,310.74,312,318,304.16,21.66K,-0.32%
06/04/2025,311.73,312.5,315,310,16.36K,-0.25%
06/03/2025,312.5,301,319,301,46.84K,2.03%
06/02/2025,306.29,307.6,309,306,13.45K,-0.26%
05/30/2025,307.09,308.6,308.98,304.8,19.23K,0.14%
05/29/2025,306.65,306,309,305.94,101.95K,0.75%
05/27/2025,304.36,303.14,306,302.18,12.51K,-0.31%
05/26/2025,305.3,306,307,302.8,28.68K,-0.59%
05/23/2025,307.1,310,311.37,283.04,16.22K,-0.32%
05/22/2025,308.1,311.54,311.54,307.6,20.34K,-0.61%
05/21/2025,309.98,310.2,312,307,21.37K,-0.20%
05/20/2025,310.61,313.78,313.8,309.8,27.85K,-0.80%
05/19/2025,313.11,314.5,314.5,311,31.13K,-0.67%
05/16/2025,315.23,314.13,316,312.04,28.69K,0.35%
05/15/2025,314.13,313.4,318,312,163.68K,0.44%
05/14/2025,312.75,317.74,317.78,312,273.52K,0.41%
05/13/2025,311.47,311.11,320,296,903.50K,6.67%
05/12/2025,292,281,292.01,270.2,780.44K,10.00%
05/09/2025,265.47,262,269.74,247,55.27K,2.37%
05/08/2025,259.33,276.8,289.98,256,41.47K,-4.62%
05/07/2025,271.9,277,277,261.2,23.55K,-2.09%
05/06/2025,277.69,279.36,283,261.04,24.25K,-0.75%
05/05/2025,279.8,283,284.96,277.36,28.67K,-0.63%
05/02/2025,281.58,278.2,290,278.2,14.77K,1.41%
04/30/2025,277.65,282.21,282.21,272,36.02K,-1.39%
04/29/2025,281.58,280,284.38,276.22,97.73K,-0.56%
04/28/2025,283.17,286,291.11,280,31.57K,-1.37%
04/25/2025,287.09,288.02,292,284,28.88K,-0.68%
04/24/2025,289.05,274.16,295.58,274.16,83.93K,0.67%
04/23/2025,287.12,291.8,291.8,285,183.20K,-4.26%
04/22/2025,299.9,304,304,298,55.84K,0.68%
04/21/2025,297.88,298.22,305.6,296,130.51K,1.32%
04/18/2025,294.01,294.06,298.8,281.03,60.05K,-0.85%
04/17/2025,296.52,288,299.69,288,174.10K,2.90%
04/16/2025,288.15,279.2,289,277.2,136.54K,3.20%
04/15/2025,279.21,278,279.98,276,49.99K,0.95%
04/14/2025,276.6,263.2,277,263.2,39.30K,1.69%
04/11/2025,272,266.38,273,262.4,18.69K,0.13%
04/10/2025,271.65,266,273.6,262.1,43.99K,3.64%
04/09/2025,262.1,260,269,256,20.56K,-0.92%
04/08/2025,264.54,260,267,260,41.86K,1.05%
04/07/2025,261.79,250.44,271.97,248,66.36K,-4.20%
04/04/2025,273.27,273.8,277.79,272.2,30.62K,-0.19%
04/03/2025,273.8,278,278,272,26.77K,-0.83%
03/27/2025,276.08,276.4,277,270,22.82K,0.73%
03/26/2025,274.07,274.91,274.91,273,18.61K,0.67%
03/25/2025,272.24,272,275,270,12.86K,-0.79%
03/24/2025,274.4,277.6,278.4,271.16,10.92K,-1.11%
03/21/2025,277.48,278.29,279,277,7.18K,-0.24%
03/20/2025,278.15,278.91,280,276.02,28.75K,0.15%
03/19/2025,277.74,275.17,279,273.02,43.75K,1.63%
03/18/2025,273.28,276,276.62,271.4,14.77K,-0.61%
03/17/2025,274.96,269.67,276,266,36.51K,1.96%
03/14/2025,269.67,271.75,272,267,17.72K,-0.72%
03/13/2025,271.62,273,275.6,271.1,27.89K,-0.14%
03/12/2025,272,276,276,270,19.95K,-0.48%
03/11/2025,273.31,273.2,276,268.24,27.01K,1.08%
03/10/2025,270.38,278,299,270,104.89K,-0.62%
03/07/2025,272.07,257,275,257,137.28K,6.25%
03/06/2025,256.07,255,257.59,253.8,69.86K,1.19%
03/05/2025,253.07,250.4,253.4,248,51.79K,1.57%
03/04/2025,249.16,249.6,250.4,247.7,9.61K,-0.20%
03/03/2025,249.67,246.42,250.42,246.42,27.06K,-0.31%
02/28/2025,250.44,246.2,253.69,244,196.53K,2.20%
02/27/2025,245.04,247.78,249,244,46.30K,0.07%
02/26/2025,244.86,245,246,241.2,43.36K,0.31%
02/25/2025,244.1,248.6,250,244,52.30K,-1.85%
02/24/2025,248.71,252,253,242.4,95.44K,-1.52%
02/21/2025,252.56,256.4,262,250.8,123.15K,1.18%
02/20/2025,249.61,239,255,239,220.37K,4.89%
02/19/2025,237.96,234,239,231.8,56.31K,2.30%
02/18/2025,232.62,232.81,236,230.2,68.74K,1.05%
02/17/2025,230.19,239,239,224.82,50.88K,-2.73%
02/14/2025,236.65,225,245,225,812.17K,6.02%
02/13/2025,223.22,225,225.8,220,21.53K,-0.36%
02/12/2025,224.02,224,226.1,220,35.91K,-0.02%
02/11/2025,224.05,222,226,222,34.69K,0.66%
02/10/2025,222.58,224.8,224.8,221,39.66K,-1.02%
02/07/2025,224.86,225,225,222,21.98K,0.43%
02/06/2025,223.9,234,234,223.58,40.52K,-4.16%
02/04/2025,233.63,238,239,233,113.17K,-0.53%
02/03/2025,234.88,240,240,233.6,89.07K,-0.47%
01/31/2025,235.99,239.98,239.98,232.02,40.93K,0.40%
01/30/2025,235.05,238.6,241.6,232,75.43K,-1.56%
01/29/2025,238.76,246,246,222.05,131.08K,1.58%
01/28/2025,235.04,235,239.8,232.2,129.71K,2.61%
01/27/2025,229.07,228,230.8,227.98,540.10K,1.32%
01/24/2025,226.1,225,227.9,221,150.01K,1.79%
01/23/2025,222.12,224,225.2,220,5.18K,-1.29%
01/22/2025,225.03,226.1,228.89,222.2,14.17K,-1.17%
01/21/2025,227.69,229.7,230,226.6,15.12K,-0.77%
01/20/2025,229.46,226.8,230.4,222.4,20.55K,0.24%
01/17/2025,228.91,226,232,226,36.72K,0.84%
01/16/2025,227,225.01,228,225,18.84K,-0.02%
01/15/2025,227.05,225,229,222,106.24K,-0.31%
01/14/2025,227.76,224,230,221.05,101.34K,2.57%
01/13/2025,222.06,221.6,224.8,220.2,26.15K,0.24%
01/10/2025,221.53,225,225,220,7.73K,-1.46%
01/09/2025,224.81,224,230,218,22.79K,0.31%
01/08/2025,224.11,229.6,229.6,220.62,34.48K,-2.40%
01/07/2025,229.63,217,237.6,216,387.63K,4.71%
01/06/2025,219.3,218.49,220,214.6,181.59K,1.93%
01/03/2025,215.14,220.03,220.03,212.2,230.51K,-0.93%
01/02/2025,217.17,223.64,224.4,216,93.78K,-2.13%
01/01/2025,221.9,216,223,213,128.66K,3.10%
